AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;0.4102;0.3673;0;0.4126;0.0194;0.1393;0;4;4.1510;0.0401;0
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;0.0000;0.2579;0;0.5121;0.0412;0.2031;0;8;4.1861;-0.4102;0
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
2;1;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
