AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;172.6331
WaveFailTime;0;202.8955
COMPLETED WAVE 0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.0442;0.0669;0;1.1313;0.0714;0.2672;0;8;4.9892;-0.4184;0
TimeToTargetHit;1;Enemy1_Wave1_BOT_INV_rotador;1.4563
3;2;1;1;0.4764;0.4307;0;0.6504;0.0094;0.0969;0;6;5.4211;0.4322;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.5436;0.5049;0;0.6778;0.0074;0.0858;0;6;5.7648;0.0671;0
3;2;1;1;0.5648;0.5636;0;1.0925;0.0306;0.1749;0;5;6.2862;0.0212;0
3;2;1;1;0.4882;0.5437;0;0.6474;0.0035;0.0588;0;7;5.9049;-0.0766;0
3;2;1;1;0.3976;0.4903;0;0.6389;0.0058;0.0762;0;5;6.0277;-0.0906;0
3;2;1;1;0.3065;0.4290;0;0.7346;0.0130;0.1141;0;6;5.0106;-0.0912;0
3;2;1;1;0.3544;0.4013;0;0.5047;0.0033;0.0572;0;6;4.9896;0.0480;0
3;2;1;1;0.4419;0.3905;0;0.5012;0.0032;0.0566;0;5;4.7831;0.0875;0
3;2;1;1;0.3292;0.3827;0;0.5964;0.0076;0.0874;0;7;4.9747;-0.1127;0
3;2;1;1;0.3774;0.4052;0;0.5454;0.0047;0.0688;0;7;4.9100;0.0482;0
3;2;1;1;0.3733;0.4466;0;0.6215;0.0055;0.0743;0;5;4.8521;-0.0042;0
3;2;1;1;0.2741;0.3707;0;0.9162;0.0243;0.1558;0;8;5.3885;-0.0991;0
3;2;1;1;0.5925;0.4818;0;0.6977;0.0124;0.1116;0;5;5.5102;0.3184;0
3;2;1;1;0.4423;0.4645;0;0.6043;0.0037;0.0604;0;8;5.8217;-0.1501;0
3;2;1;1;0.3322;0.3848;0;0.7420;0.0210;0.1450;0;5;4.9740;-0.1101;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.1545;0.1623;0;0.3039;0.0065;0.0804;0;8;1.6962;-0.1777;0
3;2;1;1;0.4631;0.4830;0;0.6355;0.0142;0.1192;0;5;5.5018;0.3086;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.0862;0.1040;0;0.6180;0.0431;0.2077;0;6;4.7685;-0.3769;0
3;2;1;1;0.5868;0.5260;0;1.0050;0.0493;0.2219;0;3;5.6023;0.5006;0
3;2;1;1;0.5627;0.5286;0;0.7317;0.0131;0.1144;0;7;5.8835;-0.0242;0
3;2;1;1;0.4196;0.4583;0;0.5761;0.0038;0.0620;0;9;6.2757;-0.1430;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.2084;0.0701;0;0.6183;0.0356;0.1885;0;7;2.5797;-0.2112;0
3;2;1;1;0.5716;0.5048;0;0.9557;0.0261;0.1617;0;6;6.3923;0.3632;0
3;2;1;1;0.4454;0.5290;0;0.6483;0.0049;0.0702;0;6;5.9689;-0.1262;0
3;2;1;1;0.5504;0.4980;0;0.6206;0.0059;0.0769;0;5;5.9507;0.1049;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;1;1;0.1153;0.2221;0;0.7028;0.0492;0.2219;0;6;3.7047;-0.4350;0
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
3;2;1;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
